varos,sorszam,valasztokorzet,lista,szavazatok,fidesz_aranya_valasztokorben,fidesz_aranya_teruleten,fidesz_aranya_diff,helyi_megjelentek_szama,atjelentkezett_megjelentek_szama,atjelentkezettek_aranya
"Ózd",029,"Ózd - 029",FIDESZ-KDNP,98,86.7256637168142,46.4623808848935,40.2632828319206,120,0,0.0
"Ózd",027,"Ózd - 027",FIDESZ-KDNP,271,86.5814696485623,46.4623808848935,40.1190887636688,313,0,0.0
Harta,004,"Harta - 004",FIDESZ-KDNP,33,84.6153846153846,45.5549831852404,39.0604014301442,39,0,0.0
"Sárvár",005,"Sárvár - 005",FIDESZ-KDNP,33,91.6666666666667,56.9853183316101,34.6813483350565,36,0,0.0
"Tiszavasvári",010,"Tiszavasvári - 010",FIDESZ-KDNP,678,80.047225501771,45.9932735013018,34.0539520004692,898,0,0.0
"Kaposvár",055,"Kaposvár - 055",FIDESZ-KDNP,312,77.2277227722772,43.4576231121415,33.7700996601357,412,0,0.0
"Tatabánya",004,"Tatabánya - 004",FIDESZ-KDNP,141,70.8542713567839,39.8195746882563,31.0346966685276,203,0,0.0
Marcali,012,"Marcali - 012",FIDESZ-KDNP,139,80.8139534883721,50.1780425661088,30.6359109222633,173,0,0.0
"Tatabánya",005,"Tatabánya - 005",FIDESZ-KDNP,210,69.3069306930693,39.8195746882563,29.487356004813,309,0,0.0
"Szentlőrinc",008,"Szentlőrinc - 008",FIDESZ-KDNP,67,77.0114942528736,49.3319281921537,27.6795660607199,92,0,0.0
"Ózd",025,"Ózd - 025",FIDESZ-KDNP,219,72.5165562913907,46.4623808848935,26.0541754064972,312,0,0.0
"Nyíregyháza",076,"Nyíregyháza - 076",FIDESZ-KDNP,122,68.5393258426966,42.6901378033,25.8491880393967,185,0,0.0
"Nyíregyháza",083,"Nyíregyháza - 083",FIDESZ-KDNP,238,68.1948424068768,42.6901378033,25.5047046035768,352,0,0.0
Heves,009,"Heves - 009",FIDESZ-KDNP,283,82.0289855072464,57.646660338119,24.3823251691273,371,0,0.0
"Orosháza",037,"Orosháza - 037",FIDESZ-KDNP,34,70.8333333333333,46.4674101018872,24.3659232314461,48,0,0.0
"Mohács",022,"Mohács - 022",FIDESZ-KDNP,28,82.3529411764706,58.1047812897314,24.2481598867392,34,0,0.0
"Jászberény",021,"Jászberény - 021",FIDESZ-KDNP,235,71.4285714285714,47.199132960148,24.2294384684234,334,0,0.0
"Gödöllő",010,"Gödöllő - 010",FIDESZ-KDNP,104,67.5324675324675,43.5730454925998,23.9594220398677,158,0,0.0
"Balmazújváros",017,"Balmazújváros - 017",FIDESZ-KDNP,36,75.0,51.179021052216,23.820978947784,48,0,0.0
"Tiszavasvári",002,"Tiszavasvári - 002",FIDESZ-KDNP,264,69.4736842105263,45.9932735013018,23.4804107092245,393,0,0.0
"Hódmezővásárhely",042,"Hódmezővásárhely - 042",FIDESZ-KDNP,115,72.3270440251572,49.1820473129461,23.1449967122111,161,0,0.0
"Vásárosnamény",009,"Vásárosnamény - 009",FIDESZ-KDNP,91,81.25,58.3759662151362,22.8740337848638,112,0,0.0
"Makó",009,"Makó - 009",FIDESZ-KDNP,363,74.8453608247423,51.9868296813469,22.8585311433953,512,0,0.0
Karcag,006,"Karcag - 006",FIDESZ-KDNP,481,81.1129848229342,58.7652962973405,22.3476885255937,612,0,0.0
"Ózd",026,"Ózd - 026",FIDESZ-KDNP,213,68.0511182108626,46.4623808848935,21.5887373259691,322,0,0.0
"Pásztó",009,"Pásztó - 009",FIDESZ-KDNP,167,72.9257641921397,51.5599793254712,21.3657848666686,230,0,0.0
"Békéscsaba",055,"Békéscsaba - 055",FIDESZ-KDNP,85,65.3846153846154,44.5120268825262,20.8725885020892,132,0,0.0
"Nyíradony",008,"Nyíradony - 008",FIDESZ-KDNP,210,88.6075949367088,67.9242776637292,20.6833172729797,245,0,0.0
"Komló",023,"Komló - 023",FIDESZ-KDNP,53,59.5505617977528,38.9233359241907,20.6272258735621,89,0,0.0
"Szentgotthárd",010,"Szentgotthárd - 010",FIDESZ-KDNP,129,82.6923076923077,62.2288524622063,20.4634552301014,159,0,0.0
"Mélykút",006,"Mélykút - 006",FIDESZ-KDNP,53,80.3030303030303,59.8578791047921,20.4451511982382,68,0,0.0
"Hódmezővásárhely",043,"Hódmezővásárhely - 043",FIDESZ-KDNP,227,69.4189602446483,49.1820473129461,20.2369129317022,335,0,0.0
Tura,002,"Tura - 002",FIDESZ-KDNP,417,76.3736263736264,56.5230139466282,19.8506124269981,549,0,0.0
Szentes,012,"Szentes - 012",FIDESZ-KDNP,65,71.4285714285714,51.5969728044414,19.8315986241301,91,0,0.0
Kazincbarcika,008,"Kazincbarcika - 008",FIDESZ-KDNP,146,52.8985507246377,33.0714864866759,19.8270642379618,281,0,0.0
"Cegléd",019,"Cegléd - 019",FIDESZ-KDNP,57,68.6746987951807,48.9227981899875,19.7519006051932,85,0,0.0
"Hódmezővásárhely",047,"Hódmezővásárhely - 047",FIDESZ-KDNP,137,68.8442211055276,49.1820473129461,19.6621737925815,204,0,0.0
"Nyírbéltek",003,"Nyírbéltek - 003",FIDESZ-KDNP,370,90.4645476772616,70.8351318802256,19.629415797036,423,0,0.0
Balatonfenyves,003,"Balatonfenyves - 003",FIDESZ-KDNP,60,80.0,60.4709628362323,19.5290371637677,75,0,0.0
"Szentgotthárd",011,"Szentgotthárd - 011",FIDESZ-KDNP,183,81.6964285714286,62.2288524622063,19.4675761092223,229,0,0.0
"Kiskunfélegyháza",018,"Kiskunfélegyháza - 018",FIDESZ-KDNP,66,75.0,55.6199403540016,19.3800596459984,89,0,0.0
Lenti,011,"Lenti - 011",FIDESZ-KDNP,78,80.4123711340206,61.034594559513,19.3777765745076,98,0,0.0
Szentes,031,"Szentes - 031",FIDESZ-KDNP,68,70.8333333333333,51.5969728044414,19.236360528892,99,0,0.0
"Nyíracsád",005,"Nyíracsád - 005",FIDESZ-KDNP,35,81.3953488372093,62.1696540292195,19.2256948079898,43,0,0.0
Kunmadaras,005,"Kunmadaras - 005",FIDESZ-KDNP,199,78.6561264822134,59.44850261478,19.2076238674334,306,0,0.0
"Sarkadkeresztúr",004,"Sarkadkeresztúr - 004",FIDESZ-KDNP,30,81.0810810810811,61.9113414218006,19.1697396592804,38,0,0.0
"Békéscsaba",054,"Békéscsaba - 054",FIDESZ-KDNP,66,63.4615384615385,44.5120268825262,18.9495115790122,105,0,0.0
"Salgótarján",012,"Salgótarján - 012",FIDESZ-KDNP,59,64.1304347826087,45.4633500828422,18.6670846997665,92,0,0.0
"Kisszentmárton",001,"Kisszentmárton - 001",FIDESZ-KDNP,63,71.5909090909091,52.9829545454545,18.6079545454545,92,2,2.12765957446809
"Kiskunfélegyháza",022,"Kiskunfélegyháza - 022",FIDESZ-KDNP,184,74.1935483870968,55.6199403540016,18.5736080330951,248,0,0.0
Szentes,011,"Szentes - 011",FIDESZ-KDNP,54,70.1298701298701,51.5969728044414,18.5328973254288,78,0,0.0
"Kecskemét",056,"Kecskemét - 056",FIDESZ-KDNP,215,67.8233438485804,49.3213709560138,18.5019728925666,320,0,0.0
Szolnok,048,"Szolnok - 048",FIDESZ-KDNP,228,58.3120204603581,39.8220710661513,18.4899493942067,408,0,0.0
Kiskunhalas,010,"Kiskunhalas - 010",FIDESZ-KDNP,443,73.5880398671096,55.2770603392265,18.3109795278832,608,0,0.0
Kiskunhalas,028,"Kiskunhalas - 028",FIDESZ-KDNP,323,73.5763097949886,55.2770603392265,18.2992494557621,441,0,0.0
"Kecskemét",072,"Kecskemét - 072",FIDESZ-KDNP,329,67.5564681724846,49.3213709560138,18.2350972164708,491,0,0.0
"Nyírábrány",005,"Nyírábrány - 005",FIDESZ-KDNP,47,83.9285714285714,65.8935041120504,18.035067316521,58,0,0.0
"Kecskemét",068,"Kecskemét - 068",FIDESZ-KDNP,218,67.2839506172839,49.3213709560138,17.9625796612701,325,0,0.0
Onga,002,"Onga - 002",FIDESZ-KDNP,280,63.2054176072235,45.3921856038788,17.8132320033447,472,19,3.86965376782077
"Veszprém",052,"Veszprém - 052",FIDESZ-KDNP,114,61.9565217391304,44.1965513687109,17.7599703704195,186,0,0.0
"Mohács",021,"Mohács - 021",FIDESZ-KDNP,100,75.7575757575758,58.1047812897314,17.6527944678444,133,0,0.0
"Sajószentpéter",006,"Sajószentpéter - 006",FIDESZ-KDNP,113,57.6530612244898,40.0918309905905,17.5612302338993,198,0,0.0
Doboz,001,"Doboz - 001",FIDESZ-KDNP,336,70.5882352941177,53.0968303183865,17.4914049757312,483,0,0.0
"Nyírbátor",001,"Nyírbátor - 001",FIDESZ-KDNP,478,65.389876880985,47.9762270986071,17.4136497823779,823,0,0.0
Csabrendek,005,"Csabrendek - 005",FIDESZ-KDNP,44,83.0188679245283,65.6764110974566,17.3424568270717,54,0,0.0
"Somogyvár",003,"Somogyvár - 003",FIDESZ-KDNP,56,91.8032786885246,74.4700623743501,17.3332163141745,62,0,0.0
"Sárospatak",017,"Sárospatak - 017",FIDESZ-KDNP,45,65.2173913043478,48.0952274844383,17.1221638199095,70,0,0.0
Barcs,004,"Barcs - 004",FIDESZ-KDNP,345,62.0503597122302,45.1709745194713,16.879385192759,567,0,0.0
Szarvas,017,"Szarvas - 017",FIDESZ-KDNP,170,67.4603174603175,50.6329575056374,16.8273599546801,259,0,0.0
Kengyel,005,"Kengyel - 005",FIDESZ-KDNP,101,71.6312056737589,54.8550687127597,16.7761369609992,141,0,0.0
Szentes,035,"Szentes - 035",FIDESZ-KDNP,67,68.3673469387755,51.5969728044414,16.7703741343341,101,0,0.0
"Békésszentandrás",007,"Békésszentandrás - 007",FIDESZ-KDNP,20,68.9655172413793,52.2699637207929,16.6955535205865,30,0,0.0
"Mór",015,"Mór - 015",FIDESZ-KDNP,76,69.7247706422018,53.0754890210937,16.6492816211081,110,0,0.0
Kiskunhalas,003,"Kiskunhalas - 003",FIDESZ-KDNP,379,71.9165085388994,55.2770603392265,16.6394481996729,531,0,0.0
Enying,007,"Enying - 007",FIDESZ-KDNP,116,69.4610778443114,52.8663922964998,16.5946855478116,171,0,0.0
"Szigetvár",011,"Szigetvár - 011",FIDESZ-KDNP,164,60.7407407407407,44.1663753636927,16.574365377048,275,0,0.0
"Orosháza",035,"Orosháza - 035",FIDESZ-KDNP,63,63.0,46.4674101018872,16.5325898981128,100,0,0.0
"Hódmezővásárhely",044,"Hódmezővásárhely - 044",FIDESZ-KDNP,109,65.6626506024096,49.1820473129461,16.4806032894635,168,0,0.0
Debrecen,115,"Debrecen - 115",FIDESZ-KDNP,402,65.1539708265802,48.8831492940873,16.2708215324929,620,0,0.0
"Sajószentpéter",005,"Sajószentpéter - 005",FIDESZ-KDNP,120,56.3380281690141,40.0918309905905,16.2461971784236,218,0,0.0
"Tiszavasvári",001,"Tiszavasvári - 001",FIDESZ-KDNP,237,62.0418848167539,45.9932735013018,16.0486113154521,390,0,0.0
Letenye,005,"Letenye - 005",FIDESZ-KDNP,205,68.3333333333333,52.3363551989278,15.9969781344056,305,0,0.0
"Tamási",001,"Tamási - 001",FIDESZ-KDNP,87,67.4418604651163,51.4494196321905,15.9924408329257,136,0,0.0
Encs,003,"Encs - 003",FIDESZ-KDNP,196,65.1162790697674,49.1338498250083,15.9824292447592,359,0,0.0
"Kecskemét",078,"Kecskemét - 078",FIDESZ-KDNP,260,65.1629072681704,49.3213709560138,15.8415363121566,401,0,0.0
"Szentgotthárd",013,"Szentgotthárd - 013",FIDESZ-KDNP,39,78.0,62.2288524622063,15.7711475377937,50,0,0.0
"Balkány",005,"Balkány - 005",FIDESZ-KDNP,270,74.1758241758242,58.4438639919372,15.731960183887,371,0,0.0
"Ózd",023,"Ózd - 023",FIDESZ-KDNP,241,62.1134020618557,46.4623808848935,15.6510211769622,392,0,0.0
Tiszabura,002,"Tiszabura - 002",FIDESZ-KDNP,629,93.8805970149254,78.2553755265667,15.6252214883586,677,0,0.0
Bicske,002,"Bicske - 002",FIDESZ-KDNP,487,67.9218967921897,52.3067637830659,15.6151330091238,727,0,0.0
Debrecen,026,"Debrecen - 026",FIDESZ-KDNP,300,64.3776824034335,48.8831492940873,15.4945331093462,470,0,0.0
Baja,032,"Baja - 032",FIDESZ-KDNP,144,64.2857142857143,48.837788243307,15.4479260424073,227,0,0.0
"Nyíregyháza",072,"Nyíregyháza - 072",FIDESZ-KDNP,277,58.0712788259958,42.6901378033,15.3811410226958,480,0,0.0
"Kehidakustány",002,"Kehidakustány - 002",FIDESZ-KDNP,171,79.1666666666667,63.991617357002,15.1750493096647,216,0,0.0
"Nyíregyháza",085,"Nyíregyháza - 085",FIDESZ-KDNP,406,57.8347578347578,42.6901378033,15.1446200314579,703,0,0.0
Boldogasszonyfa,003,"Boldogasszonyfa - 003",FIDESZ-KDNP,47,87.037037037037,71.9140736229874,15.1229634140497,54,0,0.0
"Jánossomorja",007,"Jánossomorja - 007",FIDESZ-KDNP,86,77.4774774774775,62.4962854360811,14.9811920413963,114,0,0.0
Derecske,004,"Derecske - 004",FIDESZ-KDNP,440,76.6550522648084,61.6931901953755,14.9618620694329,583,0,0.0
Zalaegerszeg,005,"Zalaegerszeg - 005",FIDESZ-KDNP,326,64.4268774703557,49.4820238141564,14.9448536561993,510,0,0.0
"Gyöngyös",005,"Gyöngyös - 005",FIDESZ-KDNP,294,51.219512195122,36.2836194426877,14.9358927524343,603,0,0.0
"Bonyhád",018,"Bonyhád - 018",FIDESZ-KDNP,62,68.8888888888889,54.0822988037316,14.8065900851573,90,0,0.0
"Derekegyház",003,"Derekegyház - 003",FIDESZ-KDNP,88,66.6666666666667,52.0211920869209,14.6454745797458,135,0,0.0
"Mátészalka",001,"Mátészalka - 001",FIDESZ-KDNP,460,62.1621621621622,47.5360640304322,14.6260981317299,755,0,0.0
"Biatorbágy",002,"Biatorbágy - 002",FIDESZ-KDNP,365,62.0748299319728,47.47242836492,14.6024015670528,760,0,0.0
"Edelény",008,"Edelény - 008",FIDESZ-KDNP,408,69.5059625212947,54.9047840704388,14.601178450856,606,0,0.0
"Ózd",024,"Ózd - 024",FIDESZ-KDNP,257,61.0451306413302,46.4623808848935,14.5827497564367,426,0,0.0
"Kiskunfélegyháza",031,"Kiskunfélegyháza - 031",FIDESZ-KDNP,480,70.1754385964912,55.6199403540016,14.5554982424896,688,0,0.0
"Törökszentmiklós",015,"Törökszentmiklós - 015",FIDESZ-KDNP,267,59.8654708520179,45.3511825655747,14.5142882864432,549,0,0.0
"Hajdúsámson",006,"Hajdúsámson - 006",FIDESZ-KDNP,203,76.3157894736842,61.8121933308996,14.5035961427846,276,0,0.0
"Hajdúböszörmény",023,"Hajdúböszörmény - 023",FIDESZ-KDNP,350,68.2261208576998,53.7466726026712,14.4794482550286,532,0,0.0
Lenti,007,"Lenti - 007",FIDESZ-KDNP,268,75.4929577464789,61.034594559513,14.4583631869658,359,0,0.0
"Tiszalök",005,"Tiszalök - 005",FIDESZ-KDNP,84,55.6291390728477,41.1982056653221,14.4309334075256,153,0,0.0
Miskolc,160,"Miskolc - 160",FIDESZ-KDNP,57,54.2857142857143,39.8552204069502,14.4304938787641,106,0,0.0
Szentes,005,"Szentes - 005",FIDESZ-KDNP,91,65.9420289855072,51.5969728044414,14.3450561810659,140,0,0.0
Bugyi,006,"Bugyi - 006",FIDESZ-KDNP,92,74.1935483870968,59.892291499989,14.3012568871077,124,0,0.0
Szerencs,010,"Szerencs - 010",FIDESZ-KDNP,197,61.3707165109034,47.1555223543733,14.2151941565301,324,0,0.0
Baja,009,"Baja - 009",FIDESZ-KDNP,418,63.0467571644042,48.837788243307,14.2089689210972,668,0,0.0
"Pusztakovácsi",002,"Pusztakovácsi - 002",FIDESZ-KDNP,63,91.304347826087,77.120705381575,14.183642444512,70,0,0.0
"Csurgó",006,"Csurgó - 006",FIDESZ-KDNP,218,68.3385579937304,54.1741805079505,14.1643774857799,355,0,0.0
"Hajdúböszörmény",008,"Hajdúböszörmény - 008",FIDESZ-KDNP,91,67.910447761194,53.7466726026712,14.1637751585228,136,0,0.0
"Alsózsolca",005,"Alsózsolca - 005",FIDESZ-KDNP,376,64.0545144804089,49.892169192772,14.1623452876369,605,0,0.0
"Nyíregyháza",100,"Nyíregyháza - 100",FIDESZ-KDNP,245,56.8445475638051,42.6901378033,14.1544097605051,435,0,0.0
"Alsózsolca",003,"Alsózsolca - 003",FIDESZ-KDNP,398,63.9871382636656,49.892169192772,14.0949690708936,631,0,0.0
"Zalaszentgrót",010,"Zalaszentgrót - 010",FIDESZ-KDNP,191,72.0754716981132,57.9813012011511,14.0941704969621,268,0,0.0
"Kecskemét",090,"Kecskemét - 090",FIDESZ-KDNP,386,63.3825944170772,49.3213709560138,14.0612234610633,617,0,0.0
Szombathely,058,"Szombathely - 058",FIDESZ-KDNP,313,63.7474541751528,49.6984379629394,14.0490162122133,497,0,0.0
Nagykanizsa,039,"Nagykanizsa - 039",FIDESZ-KDNP,488,59.2952612393682,45.2998729671323,13.9953882722358,849,0,0.0
Porcsalma,003,"Porcsalma - 003",FIDESZ-KDNP,270,78.2608695652174,64.3537634746775,13.9071060905399,361,0,0.0
"Sátoraljaújhely",018,"Sátoraljaújhely - 018",FIDESZ-KDNP,198,56.5714285714286,42.8343287942594,13.7370997771691,355,0,0.0
"Győr",095,"Győr - 095",FIDESZ-KDNP,511,62.9310344827586,49.2317990574674,13.6992354252912,821,0,0.0
Kunmadaras,007,"Kunmadaras - 007",FIDESZ-KDNP,223,73.1147540983607,59.44850261478,13.6662514835807,316,0,0.0
"Kőszeg",009,"Kőszeg - 009",FIDESZ-KDNP,232,70.9480122324159,57.3247500394055,13.6232621930104,331,0,0.0
"Kisszállás",001,"Kisszállás - 001",FIDESZ-KDNP,92,80.0,66.3838251860413,13.6161748139587,118,0,0.0
"Verpelét",002,"Verpelét - 002",FIDESZ-KDNP,282,69.4581280788177,55.8608177901038,13.5973102887139,428,25,5.51876379690949
"Komló",012,"Komló - 012",FIDESZ-KDNP,232,52.4886877828054,38.9233359241907,13.5653518586147,450,0,0.0
"Kecskemét",055,"Kecskemét - 055",FIDESZ-KDNP,208,62.8398791540785,49.3213709560138,13.5185081980647,339,0,0.0
Szolnok,049,"Szolnok - 049",FIDESZ-KDNP,194,53.2967032967033,39.8220710661513,13.474632230552,369,0,0.0
"Ózd",036,"Ózd - 036",FIDESZ-KDNP,133,59.9099099099099,46.4623808848935,13.4475290250164,224,0,0.0
"Jászladány",002,"Jászladány - 002",FIDESZ-KDNP,331,79.1866028708134,65.8321873578554,13.354415512958,440,0,0.0
Kiskunhalas,027,"Kiskunhalas - 027",FIDESZ-KDNP,317,68.6147186147186,55.2770603392265,13.3376582754921,475,0,0.0
Etyek,004,"Etyek - 004",FIDESZ-KDNP,43,61.4285714285714,48.2370230600134,13.1915483685581,70,0,0.0
"Komárom",003,"Komárom - 003",FIDESZ-KDNP,293,62.8755364806867,49.736576988836,13.1389594918507,471,0,0.0
"Celldömölk",009,"Celldömölk - 009",FIDESZ-KDNP,151,70.8920187793427,57.8599431906928,13.0320755886499,214,0,0.0
Somogyzsitfa,001,"Somogyzsitfa - 001",FIDESZ-KDNP,83,66.4,53.4479338842975,12.9520661157025,128,1,0.775193798449612
Ercsi,008,"Ercsi - 008",FIDESZ-KDNP,113,66.0818713450292,53.1314414069322,12.950429938097,177,0,0.0
Szerep,001,"Szerep - 001",FIDESZ-KDNP,399,70.7446808510638,57.8723404255319,12.8723404255319,573,2,0.347826086956522
"Komádi",006,"Komádi - 006",FIDESZ-KDNP,175,70.8502024291498,57.9784449263714,12.8717575027784,253,0,0.0
"Mohács",006,"Mohács - 006",FIDESZ-KDNP,237,70.9580838323353,58.1047812897314,12.8533025426039,418,0,0.0
Kiskunmajsa,009,"Kiskunmajsa - 009",FIDESZ-KDNP,87,74.3589743589744,61.5084554560709,12.8505189029035,118,0,0.0
Kiskunhalas,030,"Kiskunhalas - 030",FIDESZ-KDNP,297,68.1192660550459,55.2770603392265,12.8422057158194,442,0,0.0
Kiskunhalas,004,"Kiskunhalas - 004",FIDESZ-KDNP,367,68.0890538033395,55.2770603392265,12.811993464113,554,0,0.0
"Kiskőrös",013,"Kiskőrös - 013",FIDESZ-KDNP,300,75.7575757575758,62.9570544854559,12.8005212721199,430,0,0.0
"Gölle",002,"Gölle - 002",FIDESZ-KDNP,41,75.9259259259259,63.1695745332109,12.756351392715,54,0,0.0
"Martfű",001,"Martfű - 001",FIDESZ-KDNP,226,49.0238611713666,36.307094460702,12.7167667106646,472,0,0.0
"Mórahalom",007,"Mórahalom - 007",FIDESZ-KDNP,126,75.4491017964072,62.7511935363619,12.6979082600453,170,0,0.0
Miskolc,076,"Miskolc - 076",FIDESZ-KDNP,278,52.5519848771267,39.8552204069502,12.6967644701765,533,0,0.0
"Újszász",002,"Újszász - 002",FIDESZ-KDNP,313,64.0081799591002,51.329874054024,12.6783059050762,499,0,0.0
"Balmazújváros",011,"Balmazújváros - 011",FIDESZ-KDNP,314,63.8211382113821,51.179021052216,12.6421171591661,518,0,0.0
"Székesfehérvár",017,"Székesfehérvár - 017",FIDESZ-KDNP,292,59.7137014314928,47.1295567163719,12.5841447151209,505,0,0.0
Debrecen,104,"Debrecen - 104",FIDESZ-KDNP,185,61.4617940199336,48.8831492940873,12.5786447258462,305,0,0.0
"Salgótarján",036,"Salgótarján - 036",FIDESZ-KDNP,206,58.0281690140845,45.4633500828422,12.5648189312423,373,0,0.0
"Sárospatak",015,"Sárospatak - 015",FIDESZ-KDNP,37,60.655737704918,48.0952274844383,12.5605102204797,70,0,0.0
"Csongrád",016,"Csongrád - 016",FIDESZ-KDNP,346,69.061876247505,56.5131747937255,12.5487014537795,512,0,0.0
"Körösszegapáti",002,"Körösszegapáti - 002",FIDESZ-KDNP,40,81.6326530612245,69.1163265306122,12.5163265306122,50,0,0.0
Sarkad,005,"Sarkad - 005",FIDESZ-KDNP,336,70.8860759493671,58.3936862216376,12.4923897277295,481,0,0.0
Tiszadob,004,"Tiszadob - 004",FIDESZ-KDNP,36,69.2307692307692,56.7693853425323,12.461383888237,60,0,0.0
Baja,031,"Baja - 031",FIDESZ-KDNP,117,61.2565445026178,48.837788243307,12.4187562593108,195,0,0.0
"Kecskemét",096,"Kecskemét - 096",FIDESZ-KDNP,211,61.6959064327485,49.3213709560138,12.3745354767347,343,0,0.0
"Borsodnádasd",001,"Borsodnádasd - 001",FIDESZ-KDNP,186,59.4249201277955,47.0893182377449,12.3356018900506,316,10,3.06748466257669
"Sárospatak",016,"Sárospatak - 016",FIDESZ-KDNP,93,60.3896103896104,48.0952274844383,12.2943829051721,156,0,0.0
Szeghalom,007,"Szeghalom - 007",FIDESZ-KDNP,362,59.6375617792422,47.3661365446248,12.2714252346174,618,0,0.0
"Komló",013,"Komló - 013",FIDESZ-KDNP,256,51.0978043912176,38.9233359241907,12.1744684670269,512,0,0.0
"Bátonyterenye",003,"Bátonyterenye - 003",FIDESZ-KDNP,265,57.1120689655172,44.9396582826478,12.1724106828694,476,0,0.0
"Sárvár",018,"Sárvár - 018",FIDESZ-KDNP,47,69.1176470588235,56.9853183316101,12.1323287272134,69,0,0.0
Miskolc,002,"Miskolc - 002",FIDESZ-KDNP,131,51.984126984127,39.8552204069502,12.1289065771768,259,0,0.0
Debrecen,002,"Debrecen - 002",FIDESZ-KDNP,198,60.9230769230769,48.8831492940873,12.0399276289896,327,0,0.0
"Nyírtelek",004,"Nyírtelek - 004",FIDESZ-KDNP,219,61.1731843575419,49.1477475330705,12.0254368244714,361,0,0.0
"Aszód",006,"Aszód - 006",FIDESZ-KDNP,319,59.6261682242991,47.6369560093042,11.9892122149948,540,0,0.0
Szajla,001,"Szajla - 001",FIDESZ-KDNP,104,86.6666666666667,74.7058823529412,11.9607843137255,120,0,0.0
Miskolc,030,"Miskolc - 030",FIDESZ-KDNP,248,51.7745302713987,39.8552204069502,11.9193098644486,480,0,0.0
Debrecen,057,"Debrecen - 057",FIDESZ-KDNP,183,60.797342192691,48.8831492940873,11.9141928986037,303,0,0.0
"Zalalövő",005,"Zalalövő - 005",FIDESZ-KDNP,114,82.0143884892086,70.1387733941305,11.8756150950781,139,0,0.0
Pilis,008,"Pilis - 008",FIDESZ-KDNP,235,63.1720430107527,51.3185279674062,11.8535150433465,372,0,0.0
"Salgótarján",009,"Salgótarján - 009",FIDESZ-KDNP,71,57.258064516129,45.4633500828422,11.7947144332869,125,0,0.0
Eger,028,"Eger - 028",FIDESZ-KDNP,334,55.5740432612313,43.8019274245268,11.7721158367045,610,0,0.0
Zalaegerszeg,004,"Zalaegerszeg - 004",FIDESZ-KDNP,403,61.2462006079027,49.4820238141564,11.7641767937464,661,0,0.0
"Budapest XI. kerület",008,"Budapest XI. kerület - 008",FIDESZ-KDNP,289,51.8850987432675,40.1311278606996,11.7539708825679,559,0,0.0
"Bátonyterenye",001,"Bátonyterenye - 001",FIDESZ-KDNP,191,56.6765578635015,44.9396582826478,11.7368995808536,339,0,0.0
"Budapest XI. kerület",037,"Budapest XI. kerület - 037",FIDESZ-KDNP,336,51.8518518518518,40.1311278606996,11.7207239911523,663,0,0.0
Nagyecsed,005,"Nagyecsed - 005",FIDESZ-KDNP,400,81.1359026369168,69.4792258003852,11.6566768365316,507,0,0.0
Ercsi,006,"Ercsi - 006",FIDESZ-KDNP,366,64.7787610619469,53.1314414069322,11.6473196550147,570,0,0.0
"Őrtilos",002,"Őrtilos - 002",FIDESZ-KDNP,137,72.4867724867725,60.8465608465608,11.6402116402116,198,9,4.34782608695652
Hatvan,008,"Hatvan - 008",FIDESZ-KDNP,384,58.0060422960725,46.3716809919301,11.6343613041424,665,0,0.0
Tiszacsege,002,"Tiszacsege - 002",FIDESZ-KDNP,241,59.5061728395062,47.9017795591463,11.6043932803599,413,0,0.0
"Budapest IV. kerület",034,"Budapest IV. kerület - 034",FIDESZ-KDNP,279,47.6109215017065,36.0669015020653,11.5440199996412,595,0,0.0
"Kisvárda",007,"Kisvárda - 007",FIDESZ-KDNP,333,65.1663405088063,53.6233512786873,11.542989230119,527,0,0.0
"Kesznyéten",001,"Kesznyéten - 001",FIDESZ-KDNP,276,76.0330578512397,64.5110941430111,11.5219637082285,383,15,3.76884422110553
"Budapest XI. kerület",006,"Budapest XI. kerület - 006",FIDESZ-KDNP,351,51.6176470588235,40.1311278606996,11.486519198124,686,0,0.0
"Budapest X. kerület",048,"Budapest X. kerület - 048",FIDESZ-KDNP,193,50.2604166666667,38.7879054710566,11.4725111956101,386,0,0.0
"Körmend",008,"Körmend - 008",FIDESZ-KDNP,178,74.1666666666667,62.7008125093017,11.465854157365,251,0,0.0
"Békéscsaba",051,"Békéscsaba - 051",FIDESZ-KDNP,366,55.9633027522936,44.5120268825262,11.4512758697674,661,0,0.0
"Jászberény",013,"Jászberény - 013",FIDESZ-KDNP,465,58.6380832282472,47.199132960148,11.4389502680991,803,0,0.0
"Lengyeltóti",003,"Lengyeltóti - 003",FIDESZ-KDNP,292,61.9957537154989,50.5571764867964,11.4385772287026,474,0,0.0
Pusztaottlaka,002,"Pusztaottlaka - 002",FIDESZ-KDNP,29,85.2941176470588,73.8970588235294,11.3970588235294,37,0,0.0
"Mezőtúr",010,"Mezőtúr - 010",FIDESZ-KDNP,308,55.2962298025135,43.9088413541413,11.3873884483722,566,0,0.0
"Berettyóújfalu",016,"Berettyóújfalu - 016",FIDESZ-KDNP,267,60.4072398190045,49.0217605279555,11.385479291049,444,0,0.0
"Zalaszentgrót",007,"Zalaszentgrót - 007",FIDESZ-KDNP,61,69.3181818181818,57.9813012011511,11.3368806170308,88,0,0.0
"Budapest II. kerület",051,"Budapest II. kerület - 051",FIDESZ-KDNP,338,52.3219814241486,41.0033079897931,11.3186734343555,651,0,0.0
