varos,sorszam,valasztokorzet,lista,szavazatok,fidesz_aranya_valasztokorben,fidesz_aranya_teruleten,fidesz_aranya_diff,helyi_megjelentek_szama,atjelentkezett_megjelentek_szama,atjelentkezettek_aranya
"Ács",007,"Ács - 007",FIDESZ-KDNP,243,51.2658227848101,57.2385640087324,-5.9727412239223,478,0,0.0
"Csongrád",013,"Csongrád - 013",FIDESZ-KDNP,329,50.5376344086022,56.5131747937255,-5.9755403851233,658,0,0.0
"Budapest XVIII. kerület",033,"Budapest XVIII. kerület - 033",FIDESZ-KDNP,228,33.0914368650218,39.069729526465,-5.9782926614432,691,0,0.0
Sopron,016,"Sopron - 016",FIDESZ-KDNP,302,44.6745562130178,50.6537473205367,-5.97919110751891,683,0,0.0
"Kisújszállás",004,"Kisújszállás - 004",FIDESZ-KDNP,304,45.3055141579732,51.2865962435585,-5.98108208558529,677,0,0.0
"Budapest XI. kerület",083,"Budapest XI. kerület - 083",FIDESZ-KDNP,237,34.149855907781,40.1311278606996,-5.9812719529186,695,0,0.0
"Göd",010,"Göd - 010",FIDESZ-KDNP,195,35.9116022099448,41.8931721619941,-5.98156995204932,551,0,0.0
Debrecen,132,"Debrecen - 132",FIDESZ-KDNP,438,42.8991185112635,48.8831492940873,-5.98403078282385,1025,0,0.0
Szombathely,013,"Szombathely - 013",FIDESZ-KDNP,292,43.7125748502994,49.6984379629394,-5.98586311264003,672,0,0.0
"Kecskemét",040,"Kecskemét - 040",FIDESZ-KDNP,338,43.3333333333333,49.3213709560138,-5.9880376226805,790,0,0.0
Onga,004,"Onga - 004",FIDESZ-KDNP,264,39.4029850746269,45.3921856038788,-5.98920052925191,676,0,0.0
"Mohács",013,"Mohács - 013",FIDESZ-KDNP,271,52.1153846153846,58.1047812897314,-5.98939667434676,524,0,0.0
Szeged,117,"Szeged - 117",FIDESZ-KDNP,288,31.5443592552026,37.5377626896143,-5.99340343441169,915,0,0.0
"Borsodnádasd",002,"Borsodnádasd - 002",FIDESZ-KDNP,136,41.0876132930514,47.0893182377449,-6.00170494469356,334,0,0.0
"Nagykőrös",004,"Nagykőrös - 004",FIDESZ-KDNP,325,48.5799701046338,54.5872609262572,-6.00729082162344,673,0,0.0
"Kisbér",002,"Kisbér - 002",FIDESZ-KDNP,300,50.251256281407,56.2585949042193,-6.0073386228123,603,75,11.0619469026549
Debrecen,107,"Debrecen - 107",FIDESZ-KDNP,346,42.8748451053284,48.8831492940873,-6.00830418875894,808,0,0.0
"Budapest XI. kerület",020,"Budapest XI. kerület - 020",FIDESZ-KDNP,202,34.1216216216216,40.1311278606996,-6.00950623907796,594,0,0.0
"Budapest XX. kerület",012,"Budapest XX. kerület - 012",FIDESZ-KDNP,183,32.972972972973,38.9829052982452,-6.00993232527222,558,0,0.0
"Orosháza",017,"Orosháza - 017",FIDESZ-KDNP,178,40.4545454545455,46.4674101018872,-6.01286464734175,441,0,0.0
"Mohács",010,"Mohács - 010",FIDESZ-KDNP,312,52.0868113522538,58.1047812897314,-6.01796993747762,607,0,0.0
