varos,sorszam,valasztokorzet,szavazat_tipus,ervenyes_szavazolapok,ervenytelen_szavazolapok,ervenytelen_arany
"Bogdása",001,"Bogdása - 001",L,84,77,47.8260869565217
"Pécsudvard",001,"Pécsudvard - 001",L,338,173,33.8551859099804
Marcali,007,"Marcali - 007",L,484,243,33.4250343878955
Marcali,007,"Marcali - 007",J,486,241,33.1499312242091
"Dejtár",001,"Dejtár - 001",L,512,252,32.9842931937173
"Zádorfalva",001,"Zádorfalva - 001",J,134,62,31.6326530612245
"Fulókércs",001,"Fulókércs - 001",L,95,36,27.4809160305344
"Tiszarád",001,"Tiszarád - 001",L,158,57,26.5116279069767
"Biatorbágy",002,"Biatorbágy - 002",L,588,196,25.0
Porva,001,"Porva - 001",L,219,72,24.7422680412371
"Mohács",006,"Mohács - 006",L,334,98,22.6851851851852
Mindszentgodisa,002,"Mindszentgodisa - 002",L,207,60,22.4719101123595
"Kaposfő",002,"Kaposfő - 002",L,318,92,22.4390243902439
"Vecsés",008,"Vecsés - 008",L,337,95,21.9907407407407
"Törökszentmiklós",015,"Törökszentmiklós - 015",L,446,118,20.9219858156028
"Hajdúnánás",001,"Hajdúnánás - 001",L,451,118,20.7381370826011
Cserdi,001,"Cserdi - 001",L,114,29,20.2797202797203
Szuha,002,"Szuha - 002",L,52,13,20.0
"Csépa",001,"Csépa - 001",L,243,58,19.2691029900332
Kunmadaras,005,"Kunmadaras - 005",L,253,59,18.9102564102564
"Kétegyháza",002,"Kétegyháza - 002",L,368,84,18.5840707964602
"Nyírkércs",001,"Nyírkércs - 001",J,392,85,17.8197064989518
Pula,001,"Pula - 001",L,97,21,17.7966101694915
"Egyházashetye",001,"Egyházashetye - 001",L,150,32,17.5824175824176
Beret,001,"Beret - 001",L,104,22,17.4603174603175
"Diósd",003,"Diósd - 003",L,474,100,17.4216027874564
Kisasszonyfa,001,"Kisasszonyfa - 001",J,79,16,16.8421052631579
Encs,003,"Encs - 003",L,301,58,16.1559888579387
"Győr",008,"Győr - 008",L,320,61,16.010498687664
"Rinyaújnép",001,"Rinyaújnép - 001",J,16,3,15.7894736842105
"Hajdúnánás",001,"Hajdúnánás - 001",J,476,89,15.7522123893805
"Felsőpakony",001,"Felsőpakony - 001",L,508,93,15.4742096505824
"Pécs",024,"Pécs - 024",L,117,21,15.2173913043478
"Vecsés",004,"Vecsés - 004",L,383,67,14.8888888888889
Szarvas,007,"Szarvas - 007",L,333,58,14.8337595907928
"Mohács",018,"Mohács - 018",L,311,53,14.5604395604396
"Tiszafüred",009,"Tiszafüred - 009",L,77,13,14.4444444444444
"Cegléd",009,"Cegléd - 009",J,604,101,14.3262411347518
Sarkad,007,"Sarkad - 007",L,575,96,14.3070044709389
"Tésenfa",001,"Tésenfa - 001",L,84,14,14.2857142857143
"Tiszalök",006,"Tiszalök - 006",L,93,15,13.8888888888889
"Lábod",001,"Lábod - 001",L,432,69,13.7724550898204
Kengyel,004,"Kengyel - 004",J,327,52,13.7203166226913
"Kisszentmárton",002,"Kisszentmárton - 002",L,32,5,13.5135135135135
"Jászfelsőszentgyörgy",001,"Jászfelsőszentgyörgy - 001",L,395,61,13.3771929824561
Tiszadob,004,"Tiszadob - 004",L,52,8,13.3333333333333
"Gyál",011,"Gyál - 011",L,442,67,13.1630648330059
Szokolya,001,"Szokolya - 001",L,386,57,12.8668171557562
"Felsővadász",001,"Felsővadász - 001",J,183,27,12.8571428571429
"Sárospatak",015,"Sárospatak - 015",L,61,9,12.8571428571429
Bojt,001,"Bojt - 001",L,209,30,12.5523012552301
Miskolc,118,"Miskolc - 118",L,328,46,12.2994652406417
"Balmazújváros",006,"Balmazújváros - 006",L,394,55,12.2494432071269
"Kákics",001,"Kákics - 001",J,95,13,12.037037037037
Encs,003,"Encs - 003",J,316,43,11.9777158774373
"Vízvár",001,"Vízvár - 001",L,254,34,11.8055555555556
Sarkad,007,"Sarkad - 007",J,592,79,11.7734724292101
Patak,001,"Patak - 001",L,459,61,11.7307692307692
"Siklós",001,"Siklós - 001",L,403,53,11.6228070175439
Kimle,001,"Kimle - 001",L,391,51,11.5384615384615
"Budapest XI. kerület",035,"Budapest XI. kerület - 035",L,508,66,11.4982578397213
"Budapest II. kerület",011,"Budapest II. kerület - 011",L,471,61,11.4661654135338
"Nyírbátor",001,"Nyírbátor - 001",L,731,94,11.3939393939394
"Felsőgagy",001,"Felsőgagy - 001",J,55,7,11.2903225806452
"Felsőzsolca",004,"Felsőzsolca - 004",L,417,53,11.2765957446809
Magy,001,"Magy - 001",L,390,49,11.1617312072893
Szemere,001,"Szemere - 001",J,128,16,11.1111111111111
"Székesfehérvár",007,"Székesfehérvár - 007",L,502,62,10.9929078014184
Patapoklosi,001,"Patapoklosi - 001",L,146,18,10.9756097560976
Barcs,001,"Barcs - 001",L,595,73,10.9281437125749
"Gyöngyös",030,"Gyöngyös - 030",L,434,53,10.8829568788501
"Keszőhidegkút",001,"Keszőhidegkút - 001",L,115,14,10.8527131782946
"Kisszentmárton",002,"Kisszentmárton - 002",J,33,4,10.8108108108108
"Szörény",001,"Szörény - 001",L,33,4,10.8108108108108
Potyond,001,"Potyond - 001",L,67,8,10.6666666666667
"Varsány",001,"Varsány - 001",L,356,42,10.5527638190955
"Keresztéte",001,"Keresztéte - 001",L,17,2,10.5263157894737
"Budapest II. kerület",044,"Budapest II. kerület - 044",L,716,84,10.5
"Forró",001,"Forró - 001",L,553,64,10.3727714748784
"Görbeháza",003,"Görbeháza - 003",L,26,3,10.3448275862069
"Bedegkér",001,"Bedegkér - 001",L,156,18,10.3448275862069
"Hévíz",001,"Hévíz - 001",L,347,40,10.3359173126615
"Budapest XXI. kerület",035,"Budapest XXI. kerület - 035",L,341,39,10.2631578947368
"Szágy",001,"Szágy - 001",L,70,8,10.2564102564103
"Tiszalök",006,"Tiszalök - 006",J,97,11,10.1851851851852
Miskolc,118,"Miskolc - 118",J,336,38,10.1604278074866
"Csurgó",006,"Csurgó - 006",L,319,36,10.1408450704225
"Drávapalkonya",001,"Drávapalkonya - 001",L,109,12,9.91735537190083
"Budapest XVII. kerület",021,"Budapest XVII. kerület - 021",L,383,42,9.88235294117647
"Cegléd",033,"Cegléd - 033",J,622,68,9.85507246376812
Gordisa,001,"Gordisa - 001",L,119,13,9.84848484848485
Encs,007,"Encs - 007",J,257,28,9.82456140350877
"Márianosztra",001,"Márianosztra - 001",L,427,46,9.72515856236786
"Budapest XIV. kerület",052,"Budapest XIV. kerület - 052",L,715,77,9.72222222222222
"Felsőgagy",001,"Felsőgagy - 001",L,56,6,9.67741935483871
"Csongrád",009,"Csongrád - 009",L,543,58,9.65058236272879
"Abaújszolnok",001,"Abaújszolnok - 001",L,47,5,9.61538461538462
"Hajdúböszörmény",024,"Hajdúböszörmény - 024",L,461,49,9.6078431372549
"Sámod",001,"Sámod - 001",L,114,12,9.52380952380952
"Tiszaeszlár",002,"Tiszaeszlár - 002",J,324,34,9.49720670391061
Gyula,002,"Gyula - 002",L,739,77,9.43627450980392
"Kisújszállás",001,"Kisújszállás - 001",L,739,77,9.43627450980392
"Cibakháza",003,"Cibakháza - 003",L,432,45,9.43396226415094
"Kunszentmárton",004,"Kunszentmárton - 004",L,394,41,9.42528735632184
"Vilmány",001,"Vilmány - 001",J,463,48,9.39334637964775
Csenger,003,"Csenger - 003",J,521,54,9.39130434782609
"Nyírbátor",001,"Nyírbátor - 001",J,744,77,9.37880633373934
Potyond,001,"Potyond - 001",J,68,7,9.33333333333333
"Léh",001,"Léh - 001",L,214,22,9.32203389830508
"Jánoshalma",003,"Jánoshalma - 003",L,517,53,9.29824561403509
Devecser,004,"Devecser - 004",L,444,45,9.20245398773006
"Kastélyosdombó",001,"Kastélyosdombó - 001",L,99,10,9.1743119266055
"Erdőkövesd",001,"Erdőkövesd - 001",J,329,33,9.11602209944751
"Liptód",001,"Liptód - 001",L,90,9,9.09090909090909
"Kótaj",001,"Kótaj - 001",J,667,66,9.00409276944066
"Zalaszegvár",001,"Zalaszegvár - 001",L,91,9,9.0
Beret,001,"Beret - 001",J,112,11,8.94308943089431
"Sajókaza",003,"Sajókaza - 003",L,439,43,8.92116182572614
"Pusztaradvány",001,"Pusztaradvány - 001",L,92,9,8.91089108910891
"Kőtelek",002,"Kőtelek - 002",L,339,33,8.87096774193548
"Kazár",003,"Kazár - 003",L,113,11,8.87096774193548
"Kékcse",002,"Kékcse - 002",J,372,36,8.82352941176471
Szarvas,003,"Szarvas - 003",L,476,46,8.81226053639847
Dunakeszi,015,"Dunakeszi - 015",L,663,64,8.80330123796424
"Kiskőrös",013,"Kiskőrös - 013",L,396,38,8.75576036866359
Helesfa,001,"Helesfa - 001",J,158,15,8.67052023121387
"Csókakő",001,"Csókakő - 001",L,825,78,8.63787375415282
"Ópusztaszer",001,"Ópusztaszer - 001",J,329,31,8.61111111111111
Mohora,001,"Mohora - 001",L,398,37,8.50574712643678
"Besenyőd",001,"Besenyőd - 001",J,334,31,8.49315068493151
Putnok,002,"Putnok - 002",J,303,28,8.45921450151057
"Létavértes",004,"Létavértes - 004",L,433,40,8.45665961945032
"Lúzsok",001,"Lúzsok - 001",L,76,7,8.43373493975904
Csernely,001,"Csernely - 001",L,284,26,8.38709677419355
"Veszprém",001,"Veszprém - 001",L,186,17,8.3743842364532
"Gyöngyösmellék",001,"Gyöngyösmellék - 001",L,110,10,8.33333333333333
Magyarmecske,001,"Magyarmecske - 001",L,132,12,8.33333333333333
Kiskunhalas,027,"Kiskunhalas - 027",J,440,40,8.33333333333333
"Tótkomlós",006,"Tótkomlós - 006",J,298,27,8.30769230769231
Nagyszokoly,001,"Nagyszokoly - 001",L,387,35,8.29383886255924
Kocsord,003,"Kocsord - 003",L,422,38,8.26086956521739
"Székesfehérvár",074,"Székesfehérvár - 074",L,489,44,8.25515947467167
"Endrőc",001,"Endrőc - 001",L,178,16,8.24742268041237
Kimle,003,"Kimle - 003",J,124,11,8.14814814814815
Potony,001,"Potony - 001",L,79,7,8.13953488372093
Helesfa,001,"Helesfa - 001",L,159,14,8.09248554913295
"Kazár",003,"Kazár - 003",J,114,10,8.06451612903226
"Ibrány",004,"Ibrány - 004",J,539,47,8.02047781569966
"Balmazújváros",006,"Balmazújváros - 006",J,413,36,8.01781737193764
Vekerd,001,"Vekerd - 001",J,69,6,8.0
Csenger,003,"Csenger - 003",L,529,46,8.0
"Körmend",008,"Körmend - 008",J,231,20,7.96812749003984
"Nagyhajmás",001,"Nagyhajmás - 001",L,151,13,7.92682926829268
Valkonya,001,"Valkonya - 001",L,35,3,7.89473684210526
Domony,001,"Domony - 001",L,304,26,7.87878787878788
"Gödre",002,"Gödre - 002",L,117,10,7.8740157480315
"Márok",001,"Márok - 001",L,234,20,7.8740157480315
"Bakóca",001,"Bakóca - 001",J,106,9,7.82608695652174
"Komjáti",001,"Komjáti - 001",L,130,11,7.80141843971631
Encs,007,"Encs - 007",L,263,22,7.71929824561404
"Debréte",001,"Debréte - 001",L,12,1,7.69230769230769
"Kiscsősz",001,"Kiscsősz - 001",L,60,5,7.69230769230769
"Hernyék",001,"Hernyék - 001",L,48,4,7.69230769230769
"Nemesdéd",001,"Nemesdéd - 001",J,267,22,7.61245674740484
"Budapest XVII. kerület",017,"Budapest XVII. kerület - 017",L,463,38,7.58483033932136
"Hajdúnánás",013,"Hajdúnánás - 013",L,524,43,7.58377425044092
"Kunszentmárton",004,"Kunszentmárton - 004",J,403,33,7.56880733944954
"Veresegyház",003,"Veresegyház - 003",J,404,33,7.55148741418764
Kondoros,002,"Kondoros - 002",L,406,33,7.51708428246014
"Kótaj",001,"Kótaj - 001",L,678,55,7.50341064120055
"Fertőrákos",002,"Fertőrákos - 002",L,545,44,7.47028862478778
Magyarhertelend,002,"Magyarhertelend - 002",L,62,5,7.46268656716418
"Sárok",001,"Sárok - 001",L,62,5,7.46268656716418
"Szentborbás",001,"Szentborbás - 001",L,62,5,7.46268656716418
"Kórós",001,"Kórós - 001",J,100,8,7.40740740740741
Pereked,001,"Pereked - 001",L,88,7,7.36842105263158
"Bodolyabér",001,"Bodolyabér - 001",L,114,9,7.31707317073171
"Himesháza",002,"Himesháza - 002",L,307,24,7.25075528700906
"Ásotthalom",004,"Ásotthalom - 004",L,206,16,7.20720720720721
Ricse,001,"Ricse - 001",J,259,20,7.16845878136201
Ricse,001,"Ricse - 001",L,259,20,7.16845878136201
"Nyírmada",001,"Nyírmada - 001",J,454,35,7.15746421267894
"Nagyigmánd",004,"Nagyigmánd - 004",L,65,5,7.14285714285714
"Hernádvécse",001,"Hernádvécse - 001",L,313,24,7.12166172106825
"Polgár",001,"Polgár - 001",J,446,34,7.08333333333333
Hatvan,009,"Hatvan - 009",L,565,43,7.07236842105263
"Liptód",001,"Liptód - 001",J,92,7,7.07070707070707
"Sósvertike",001,"Sósvertike - 001",L,92,7,7.07070707070707
Budakeszi,003,"Budakeszi - 003",L,488,37,7.04761904761905
"Vágáshuta",001,"Vágáshuta - 001",L,53,4,7.01754385964912
Told,001,"Told - 001",L,106,8,7.01754385964912
Heves,009,"Heves - 009",L,345,26,7.00808625336927
"Görbeháza",003,"Görbeháza - 003",J,27,2,6.89655172413793
"Bököny",004,"Bököny - 004",J,311,23,6.88622754491018
Teklafalu,001,"Teklafalu - 001",J,122,9,6.87022900763359
"Budapest XIX. kerület",016,"Budapest XIX. kerület - 016",L,624,46,6.86567164179105
"Hosszúpályi",002,"Hosszúpályi - 002",L,543,40,6.86106346483705
"Győr",055,"Győr - 055",L,625,46,6.85543964232489
"Vecsés",003,"Vecsés - 003",L,408,30,6.84931506849315
"Besenyőd",001,"Besenyőd - 001",L,340,25,6.84931506849315
Esztergom,015,"Esztergom - 015",L,640,47,6.84133915574964
Szarvas,011,"Szarvas - 011",L,545,40,6.83760683760684
"Csurgó",003,"Csurgó - 003",L,464,34,6.82730923694779
"Diósberény",001,"Diósberény - 001",J,164,12,6.81818181818182
"Szécsény",005,"Szécsény - 005",L,110,8,6.77966101694915
Berkesd,001,"Berkesd - 001",L,372,27,6.76691729323308
"Kissomlyó",001,"Kissomlyó - 001",J,124,9,6.76691729323308
"Nagybörzsöny",001,"Nagybörzsöny - 001",L,304,22,6.74846625766871
Esztergom,015,"Esztergom - 015",J,641,46,6.6957787481805
"Gagyapáti",001,"Gagyapáti - 001",J,14,1,6.66666666666667
Tiszadob,004,"Tiszadob - 004",J,56,4,6.66666666666667
"Vöröstó",001,"Vöröstó - 001",J,42,3,6.66666666666667
"Tiszalúc",004,"Tiszalúc - 004",L,365,26,6.64961636828645
Uszka,001,"Uszka - 001",J,211,15,6.63716814159292
Onga,006,"Onga - 006",J,57,4,6.55737704918033
Tagyon,001,"Tagyon - 001",L,57,4,6.55737704918033
Fazekasboda,001,"Fazekasboda - 001",L,100,7,6.54205607476635
"Kesznyéten",001,"Kesznyéten - 001",J,358,25,6.52741514360313
"Hajdúnánás",008,"Hajdúnánás - 008",L,287,20,6.51465798045603
Feked,001,"Feked - 001",L,115,8,6.50406504065041
"Kőkút",002,"Kőkút - 002",L,72,5,6.49350649350649
"Kórós",001,"Kórós - 001",L,101,7,6.48148148148148
"Horváthertelend",001,"Horváthertelend - 001",J,29,2,6.45161290322581
"Szentlőrinc",008,"Szentlőrinc - 008",L,87,6,6.45161290322581
"Nagykónyi",001,"Nagykónyi - 001",J,29,2,6.45161290322581
"Drávafok",001,"Drávafok - 001",L,218,15,6.43776824034335
"Tiszaeszlár",002,"Tiszaeszlár - 002",L,335,23,6.42458100558659
"Nemesrempehollós",001,"Nemesrempehollós - 001",J,146,10,6.41025641025641
"Döbrönte",001,"Döbrönte - 001",L,161,11,6.3953488372093
"Székesfehérvár",007,"Székesfehérvár - 007",J,527,36,6.3943161634103
"Mogyoróska",001,"Mogyoróska - 001",J,44,3,6.38297872340426
Debrecen,029,"Debrecen - 029",J,968,66,6.38297872340426
Mike,001,"Mike - 001",L,264,18,6.38297872340426
"Medgyesegyháza",002,"Medgyesegyháza - 002",J,543,37,6.37931034482759
"Tiszalúc",004,"Tiszalúc - 004",J,367,25,6.37755102040816
"Varsány",001,"Varsány - 001",J,369,25,6.34517766497462
Onga,002,"Onga - 002",L,443,30,6.34249471458774
"Mezőfalva",003,"Mezőfalva - 003",L,576,39,6.34146341463415
Kisasszonyfa,001,"Kisasszonyfa - 001",L,89,6,6.31578947368421
"Maráza",001,"Maráza - 001",L,89,6,6.31578947368421
Hirics,001,"Hirics - 001",L,90,6,6.25
"Kistamási",001,"Kistamási - 001",L,60,4,6.25
Gesztely,003,"Gesztely - 003",J,375,25,6.25
Teresztenye,001,"Teresztenye - 001",J,15,1,6.25
"Tiszavasvári",010,"Tiszavasvári - 010",J,841,56,6.24303232998885
"Rátka",001,"Rátka - 001",L,497,33,6.22641509433962
"Sajókaza",003,"Sajókaza - 003",J,452,30,6.22406639004149
Szarvasgede,001,"Szarvasgede - 001",L,211,14,6.22222222222222
"Cserháthaláp",001,"Cserháthaláp - 001",L,197,13,6.19047619047619
"Szamossályi",001,"Szamossályi - 001",J,335,22,6.1624649859944
"Kányavár",001,"Kányavár - 001",J,61,4,6.15384615384615
Balatonkenese,003,"Balatonkenese - 003",J,443,29,6.14406779661017
"Békésszentandrás",005,"Békésszentandrás - 005",L,428,28,6.14035087719298
"Békéscsaba",008,"Békéscsaba - 008",J,414,27,6.12244897959184
"Almásháza",001,"Almásháza - 001",J,46,3,6.12244897959184
Nagyecsed,002,"Nagyecsed - 002",L,339,22,6.09418282548476
"Tuzsér",001,"Tuzsér - 001",J,510,33,6.07734806629834
"Tuzsér",001,"Tuzsér - 001",L,510,33,6.07734806629834
Telki,004,"Telki - 004",L,557,36,6.070826306914
"Tiszakarád",002,"Tiszakarád - 002",J,326,21,6.05187319884726
"Dunaújváros",030,"Dunaújváros - 030",L,528,34,6.04982206405694
"Báta",001,"Báta - 001",L,389,25,6.03864734299517
Kunmadaras,007,"Kunmadaras - 007",J,296,19,6.03174603174603
"Kőkút",001,"Kőkút - 001",J,110,7,5.98290598290598
"Jánoshalma",003,"Jánoshalma - 003",J,536,34,5.96491228070175
Debrecen,013,"Debrecen - 013",L,899,57,5.96234309623431
"Nagymágocs",005,"Nagymágocs - 005",J,79,5,5.95238095238095
"Bonyhádvarasd",001,"Bonyhádvarasd - 001",L,253,16,5.94795539033457
"Vecsés",024,"Vecsés - 024",J,491,31,5.93869731800766
Taktaszada,001,"Taktaszada - 001",J,396,25,5.93824228028503
"Zengővárkony",001,"Zengővárkony - 001",J,254,16,5.92592592592593
Tarpa,001,"Tarpa - 001",J,524,33,5.9245960502693
Matty,001,"Matty - 001",L,175,11,5.91397849462366
"Tállya",001,"Tállya - 001",L,446,28,5.90717299578059
"Erdősmecske",001,"Erdősmecske - 001",J,176,11,5.88235294117647
"Pócsa",001,"Pócsa - 001",L,96,6,5.88235294117647
"Nyésta",001,"Nyésta - 001",J,16,1,5.88235294117647
"Garáb",001,"Garáb - 001",J,32,2,5.88235294117647
"Gödre",001,"Gödre - 001",L,290,18,5.84415584415584
"Budapest III. kerület",008,"Budapest III. kerület - 008",L,548,34,5.84192439862543
"Ózd",029,"Ózd - 029",L,113,7,5.83333333333333
"Csengerújfalu",001,"Csengerújfalu - 001",J,406,25,5.80046403712297
"Budapest XVII. kerület",017,"Budapest XVII. kerület - 017",J,471,29,5.8
"Budapest VIII. kerület",045,"Budapest VIII. kerület - 045",L,456,28,5.78512396694215
"Györgytarló",001,"Györgytarló - 001",L,246,15,5.74712643678161
"Felsővadász",001,"Felsővadász - 001",L,197,12,5.74162679425837
"Székesfehérvár",022,"Székesfehérvár - 022",L,591,36,5.74162679425837
"Nyírábrány",003,"Nyírábrány - 003",L,313,19,5.72289156626506
"Múcsony",002,"Múcsony - 002",J,396,24,5.71428571428571
"Sárospatak",015,"Sárospatak - 015",J,66,4,5.71428571428571
"Cegléd",002,"Cegléd - 002",L,495,30,5.71428571428571
Pat,001,"Pat - 001",J,99,6,5.71428571428571
"Csenyéte",001,"Csenyéte - 001",J,116,7,5.69105691056911
"Fulókércs",001,"Fulókércs - 001",J,116,7,5.69105691056911
"Varászló",001,"Varászló - 001",L,83,5,5.68181818181818
"Tiszavasvári",010,"Tiszavasvári - 010",L,847,51,5.67928730512249
Kunmadaras,005,"Kunmadaras - 005",J,283,17,5.66666666666667
"Felsőregmec",001,"Felsőregmec - 001",L,100,6,5.66037735849057
Battonya,001,"Battonya - 001",L,367,22,5.65552699228792
"Nagycsécs",001,"Nagycsécs - 001",L,367,22,5.65552699228792
"Nyíregyháza",035,"Nyíregyháza - 035",J,435,26,5.63991323210412
Regenye,001,"Regenye - 001",L,67,4,5.63380281690141
Kaszaper,003,"Kaszaper - 003",J,67,4,5.63380281690141
"Pécs",098,"Pécs - 098",J,639,38,5.61299852289513
"Pécs",149,"Pécs - 149",J,354,21,5.6
"Tiszakarád",001,"Tiszakarád - 001",J,354,21,5.6
"Rinyaújlak",001,"Rinyaújlak - 001",J,135,8,5.59440559440559
"Drávacsehi",001,"Drávacsehi - 001",L,85,5,5.55555555555556
"Szentlőrinc",005,"Szentlőrinc - 005",L,442,26,5.55555555555556
Pusztaottlaka,002,"Pusztaottlaka - 002",L,34,2,5.55555555555556
"Bódvarákó",001,"Bódvarákó - 001",J,51,3,5.55555555555556
"Óbudavár",001,"Óbudavár - 001",J,34,2,5.55555555555556
Ligetfalva,001,"Ligetfalva - 001",J,34,2,5.55555555555556
Ramocsa,001,"Ramocsa - 001",J,17,1,5.55555555555556
Ramocsa,001,"Ramocsa - 001",L,17,1,5.55555555555556
Porcsalma,003,"Porcsalma - 003",J,341,20,5.54016620498615
"Nógrádmegyer",002,"Nógrádmegyer - 002",L,324,19,5.53935860058309
Lengyel,001,"Lengyel - 001",L,256,15,5.53505535055351
"Kisrozvágy",001,"Kisrozvágy - 001",L,86,5,5.49450549450549
"Vilmány",001,"Vilmány - 001",L,483,28,5.47945205479452
Vaskeresztes,001,"Vaskeresztes - 001",L,207,12,5.47945205479452
"Semjén",001,"Semjén - 001",J,121,7,5.46875
Peterd,001,"Peterd - 001",J,104,6,5.45454545454545
"Kántorjánosi",002,"Kántorjánosi - 002",L,468,27,5.45454545454545
"Nagymágocs",004,"Nagymágocs - 004",J,295,17,5.44871794871795
"Gilvánfa",001,"Gilvánfa - 001",L,139,8,5.4421768707483
"Kisszentmárton",001,"Kisszentmárton - 001",J,87,5,5.43478260869565
Halmaj,002,"Halmaj - 002",L,383,22,5.4320987654321
Encsencs,002,"Encsencs - 002",J,437,25,5.41125541125541
Debrecen,042,"Debrecen - 042",J,944,54,5.41082164328657
"Budapest XXI. kerület",011,"Budapest XXI. kerület - 011",L,577,33,5.40983606557377
"Drávacsepely",001,"Drávacsepely - 001",J,105,6,5.40540540540541
Pusztaottlaka,002,"Pusztaottlaka - 002",J,35,2,5.40540540540541
Nagyhuta,001,"Nagyhuta - 001",J,35,2,5.40540540540541
"Füzesabony",005,"Füzesabony - 005",J,385,22,5.40540540540541
"Mátraverebély",002,"Mátraverebély - 002",J,280,16,5.40540540540541
Barcs,009,"Barcs - 009",L,315,18,5.40540540540541
Ecseny,001,"Ecseny - 001",L,105,6,5.40540540540541
Hegyesd,001,"Hegyesd - 001",L,105,6,5.40540540540541
Battonya,001,"Battonya - 001",J,368,21,5.39845758354756
"Keszőhidegkút",001,"Keszőhidegkút - 001",J,123,7,5.38461538461539
"Rinyabesenyő",001,"Rinyabesenyő - 001",J,88,5,5.37634408602151
"Hajdúhadház",005,"Hajdúhadház - 005",J,477,27,5.35714285714286
Teklafalu,001,"Teklafalu - 001",L,124,7,5.34351145038168
"Pécel",011,"Pécel - 011",J,585,33,5.33980582524272
Szolnok,031,"Szolnok - 031",L,461,26,5.3388090349076
Vekerd,001,"Vekerd - 001",L,71,4,5.33333333333333
"Pécs",066,"Pécs - 066",L,444,25,5.33049040511727
Miskolc,128,"Miskolc - 128",L,462,26,5.32786885245902
"Budapest XII. kerület",023,"Budapest XII. kerület - 023",L,480,27,5.32544378698225
"Zádor",001,"Zádor - 001",L,160,9,5.32544378698225
"Komlóska",001,"Komlóska - 001",L,160,9,5.32544378698225
"Tornaszentandrás",001,"Tornaszentandrás - 001",J,107,6,5.30973451327434
"Tornaszentandrás",001,"Tornaszentandrás - 001",L,107,6,5.30973451327434
"Budapest IV. kerület",052,"Budapest IV. kerület - 052",J,679,38,5.29986052998605
"Tápiószőlős",002,"Tápiószőlős - 002",J,358,20,5.29100529100529
"Békéscsaba",009,"Békéscsaba - 009",L,627,35,5.28700906344411
"Nyíregyháza",043,"Nyíregyháza - 043",J,538,30,5.28169014084507
"Vecsés",021,"Vecsés - 021",L,503,28,5.27306967984934
"Keresztéte",001,"Keresztéte - 001",J,18,1,5.26315789473684
Nagyvenyim,005,"Nagyvenyim - 005",J,54,3,5.26315789473684
"Kunszentmárton",007,"Kunszentmárton - 007",L,469,26,5.25252525252525
"Túrkeve",002,"Túrkeve - 002",J,451,25,5.25210084033613
Szamosbecs,001,"Szamosbecs - 001",L,199,11,5.23809523809524
"Orosháza",015,"Orosháza - 015",J,344,19,5.23415977961433
"Orosháza",015,"Orosháza - 015",L,344,19,5.23415977961433
"Jászladány",002,"Jászladány - 002",J,417,23,5.22727272727273
"Kesznyéten",001,"Kesznyéten - 001",L,363,20,5.22193211488251
"Hajdúhadház",002,"Hajdúhadház - 002",J,345,19,5.21978021978022
"Kisköre",003,"Kisköre - 003",L,436,24,5.21739130434783
Tarpa,001,"Tarpa - 001",L,528,29,5.2064631956912
"Szátok",001,"Szátok - 001",L,237,13,5.2
"Aszaló",001,"Aszaló - 001",L,383,21,5.1980198019802
"Gulács",001,"Gulács - 001",L,529,29,5.19713261648745
"Békésszentandrás",002,"Békésszentandrás - 002",L,274,15,5.19031141868512
"Tiszakarád",002,"Tiszakarád - 002",L,329,18,5.18731988472623
"Hajdúböszörmény",027,"Hajdúböszörmény - 027",L,329,18,5.18731988472623
"Vác",017,"Vác - 017",L,531,29,5.17857142857143
Kondorfa,001,"Kondorfa - 001",L,293,16,5.17799352750809
"Bedegkér",001,"Bedegkér - 001",J,165,9,5.17241379310345
"Szendrő",002,"Szendrő - 002",L,404,22,5.16431924882629
Old,001,"Old - 001",L,147,8,5.16129032258065
Mosonszolnok,001,"Mosonszolnok - 001",L,441,24,5.16129032258065
"Tuzsér",003,"Tuzsér - 003",J,460,25,5.15463917525773
"Balatonfüred",002,"Balatonfüred - 002",J,811,44,5.14619883040936
"Verpelét",002,"Verpelét - 002",L,406,22,5.14018691588785
"Nyírmada",002,"Nyírmada - 002",L,425,23,5.13392857142857
Szentes,011,"Szentes - 011",J,74,4,5.12820512820513
"Nyíregyháza",043,"Nyíregyháza - 043",L,537,29,5.12367491166078
"Nyírábrány",003,"Nyírábrány - 003",J,315,17,5.12048192771084
"Diósberény",001,"Diósberény - 001",L,167,9,5.11363636363636
"Bátaszék",005,"Bátaszék - 005",L,670,36,5.09915014164306
Szombathely,006,"Szombathely - 006",L,727,39,5.09138381201044
"Makó",009,"Makó - 009",L,485,26,5.0880626223092
"Budapest XX. kerület",045,"Budapest XX. kerület - 045",L,616,33,5.08474576271187
Vid,001,"Vid - 001",J,56,3,5.08474576271187
"Budapest VIII. kerület",009,"Budapest VIII. kerület - 009",L,635,34,5.08221225710015
"Pilisvörösvár",004,"Pilisvörösvár - 004",L,990,53,5.08149568552253
"Forró",002,"Forró - 002",L,657,35,5.05780346820809
"Magyarsarlós",001,"Magyarsarlós - 001",L,169,9,5.0561797752809
Piliscsaba,001,"Piliscsaba - 001",L,601,32,5.05529225908373
Isaszeg,001,"Isaszeg - 001",L,809,43,5.04694835680751
"Pétfürdő",001,"Pétfürdő - 001",L,339,18,5.04201680672269
